Country,State,Year,Month,"Central Goods And Services Tax (Cgst) Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","State Goods And Services Tax (Sgst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Integrated Goods And Services Tax (Igst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cess Tax Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Revenue Collection (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2024","April, 2024",219.7,302.64,491.19,1.59,1015.12
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2024","April, 2024",269.64,362.34,149.88,7.35,789.21
India,Jharkhand,"Financial Year (Apr - Mar), 2024","April, 2024",714.08,934.43,1492.99,687.71,3829.21
India,Karnataka,"Financial Year (Apr - Mar), 2024","April, 2024",3896.36,4715.34,5791.48,1574.97,15978.15
India,Kerala,"Financial Year (Apr - Mar), 2024","April, 2024",1157.11,1456.12,652.1,6.88,3272.2099999999996
India,Ladakh,"Financial Year (Apr - Mar), 2024","April, 2024",29.57,35.92,3.97,0.05,69.51
India,Lakshadweep,"Financial Year (Apr - Mar), 2024","April, 2024",0.18,0.22,0.81,0.0,1.21
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2024","April, 2024",1220.58,1519.6,1365.12,622.53,4727.829999999999
India,Maharashtra,"Financial Year (Apr - Mar), 2024","April, 2024",10263.18,11729.43,13430.36,2247.84,37670.81
India,Manipur,"Financial Year (Apr - Mar), 2024","April, 2024",41.34,52.61,9.95,0.08,103.98
India,Meghalaya,"Financial Year (Apr - Mar), 2024","April, 2024",63.17,75.59,94.82,0.38,233.95999999999998
India,Mizoram,"Financial Year (Apr - Mar), 2024","April, 2024",43.71,59.38,4.9,0.08,108.07000000000001
India,Nagaland,"Financial Year (Apr - Mar), 2024","April, 2024",30.71,40.6,10.42,4.13,85.86
India,Odisha,"Financial Year (Apr - Mar), 2024","April, 2024",1674.38,2081.83,1349.66,796.38,5902.25
India,Puducherry,"Financial Year (Apr - Mar), 2024","April, 2024",35.36,54.12,154.95,2.22,246.64999999999998
India,Punjab,"Financial Year (Apr - Mar), 2024","April, 2024",693.2,998.58,1068.86,35.16,2795.8
India,Rajasthan,"Financial Year (Apr - Mar), 2024","April, 2024",1600.9,1889.1,1890.19,177.82,5558.01
India,Sikkim,"Financial Year (Apr - Mar), 2024","April, 2024",46.69,69.2,287.54,0.05,403.48
India,Tamil Nadu,"Financial Year (Apr - Mar), 2024","April, 2024",3193.48,4066.49,4157.69,792.3,12209.96
India,Telangana,"Financial Year (Apr - Mar), 2024","April, 2024",1720.73,2062.94,1890.34,561.88,6235.89
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2024","April, 2024",59.8800000000000000000000,75.3800000000000000000000,312.0300000000000000000000,0.1300000000000000000000,447.4200000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2024","April, 2024",64.34,79.81,16.43,0.04,160.62
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2024","April, 2024",3202.68,4120.71,3606.43,1360.3,12290.119999999999
India,Uttarakhand,"Financial Year (Apr - Mar), 2024","April, 2024",460.53,636.26,1132.22,10.02,2239.03
India,West Bengal,"Financial Year (Apr - Mar), 2024","April, 2024",2177.95,2640.03,1894.17,581.31,7293.459999999999
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","March, 2024",12.37,15.35,4.43,0.06,32.21
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","March, 2024",1022.48,1312.44,1501.3,245.7,4081.92
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","March, 2024",69.45,79.58,18.44,0.17,167.64
India,Assam,"Financial Year (Apr - Mar), 2023","March, 2024",477.95,596.96,350.79,117.62,1543.3200000000002
India,Bihar,"Financial Year (Apr - Mar), 2023","March, 2024",553.52,1057.39,239.56,140.93,1991.4
India,Chandigarh,"Financial Year (Apr - Mar), 2023","March, 2024",51.59,62.54,121.84,2.18,238.15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","March, 2024",650.44,757.85,1056.1,678.55,3142.9399999999996
India,Delhi,"Financial Year (Apr - Mar), 2023","March, 2024",1225.07,1412.73,3057.59,124.55,5819.9400000000005
India,Goa,"Financial Year (Apr - Mar), 2023","March, 2024",166.5,214.37,180.55,3.71,565.1300000000001
India,Gujarat,"Financial Year (Apr - Mar), 2023","March, 2024",3210.45,3905.96,3685.87,589.96,11392.239999999998
India,Haryana,"Financial Year (Apr - Mar), 2023","March, 2024",1428.35,1766.53,5733.67,616.52,9545.07
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","March, 2024",165.61,225.35,459.77,1.05,851.78
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","March, 2024",200.79,264.52,129.96,6.13,601.4
India,Jharkhand,"Financial Year (Apr - Mar), 2023","March, 2024",574.63,872.88,1165.68,629.68,3242.87
India,Karnataka,"Financial Year (Apr - Mar), 2023","March, 2024",3001.22,3664.3,4916.82,1431.37,13013.71
India,Kerala,"Financial Year (Apr - Mar), 2023","March, 2024",929.52,1158.49,506.9,3.01,2597.9200000000005
India,Ladakh,"Financial Year (Apr - Mar), 2023","March, 2024",17.63,20.52,3.09,0.06,41.3
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","March, 2024",0.8,1.2,0.22,0.0,2.22
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","March, 2024",994.04,1207.56,1131.26,641.19,3974.0499999999997
India,Maharashtra,"Financial Year (Apr - Mar), 2023","March, 2024",7734.14,9259.19,8662.98,2031.55,27687.86
India,Manipur,"Financial Year (Apr - Mar), 2023","March, 2024",26.06,35.48,7.51,0.15,69.2
India,Meghalaya,"Financial Year (Apr - Mar), 2023","March, 2024",48.63,57.1,106.12,1.09,212.94000000000003
India,Mizoram,"Financial Year (Apr - Mar), 2023","March, 2024",18.25,28.71,3.21,0.07,50.24
India,Nagaland,"Financial Year (Apr - Mar), 2023","March, 2024",31.19,37.19,10.18,4.03,82.59
India,Odisha,"Financial Year (Apr - Mar), 2023","March, 2024",1380.4,1659.31,1266.47,803.15,5109.33
India,Puducherry,"Financial Year (Apr - Mar), 2023","March, 2024",29.7,42.03,149.2,0.56,221.49
India,Punjab,"Financial Year (Apr - Mar), 2023","March, 2024",503.96,716.53,840.79,29.04,2090.3199999999997
India,Rajasthan,"Financial Year (Apr - Mar), 2023","March, 2024",1291.86,1768.59,1565.7,171.96,4798.11
India,Sikkim,"Financial Year (Apr - Mar), 2023","March, 2024",22.2,32.58,248.44,0.15,303.37
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","March, 2024",2875.4,4058.41,3302.15,780.88,11016.839999999998
India,Telangana,"Financial Year (Apr - Mar), 2023","March, 2024",1404.47,1837.21,1595.58,561.96,5399.22
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023","March, 2024",49.2000000000000000000000,62.6500000000000000000000,340.4300000000000000000000,0.2100000000000000000000,452.489999999999970100000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023","March, 2024",44.74,56.67,19.23,0.09,120.73
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","March, 2024",2262.43,2974.26,2626.33,1224.0,9087.02
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","March, 2024",353.87,481.09,885.31,9.37,1729.6399999999999
India,West Bengal,"Financial Year (Apr - Mar), 2023","March, 2024",1691.71,2029.51,1338.97,412.55,5472.740000000001
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","February, 2024",15.09,19.81,4.04,0.23,39.169999999999995
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","February, 2024",884.63,1145.21,1400.43,247.83,3678.1000000000004
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","February, 2024",36.82,48.36,15.72,0.12,101.02000000000001
India,Assam,"Financial Year (Apr - Mar), 2023","February, 2024",403.0,507.08,292.56,186.99,1389.6299999999999
India,Bihar,"Financial Year (Apr - Mar), 2023","February, 2024",399.29,689.37,214.36,188.08,1491.1
India,Chandigarh,"Financial Year (Apr - Mar), 2023","February, 2024",42.95,58.94,106.97,2.11,210.97000000000003
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","February, 2024",597.74,712.07,1130.32,683.74,3123.87
India,Delhi,"Financial Year (Apr - Mar), 2023","February, 2024",1098.07,1300.18,3025.19,120.52,5543.960000000001
India,Goa,"Financial Year (Apr - Mar), 2023","February, 2024",181.24,223.63,172.3,3.53,580.7
India,Gujarat,"Financial Year (Apr - Mar), 2023","February, 2024",3103.69,3808.84,3428.24,688.12,11028.890000000001
India,Haryana,"Financial Year (Apr - Mar), 2023","February, 2024",1315.33,1720.33,4642.79,590.79,8269.24
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","February, 2024",145.6,203.86,395.82,0.81,746.0899999999999
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","February, 2024",181.07,231.34,115.7,3.91,532.02
India,Jharkhand,"Financial Year (Apr - Mar), 2023","February, 2024",532.74,740.27,1034.63,625.13,2932.7700000000004
India,Karnataka,"Financial Year (Apr - Mar), 2023","February, 2024",2942.2,3519.92,4670.27,1682.49,12814.88
India,Kerala,"Financial Year (Apr - Mar), 2023","February, 2024",939.96,1230.52,512.44,4.76,2687.6800000000003
India,Ladakh,"Financial Year (Apr - Mar), 2023","February, 2024",14.85,17.91,1.93,0.01,34.699999999999996
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","February, 2024",0.82,0.93,0.16,0.0,1.91
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","February, 2024",909.09,1105.89,935.93,620.67,3571.58
India,Maharashtra,"Financial Year (Apr - Mar), 2023","February, 2024",7211.31,8470.41,9310.44,2072.53,27064.690000000002
India,Manipur,"Financial Year (Apr - Mar), 2023","February, 2024",18.92,28.4,8.08,0.15,55.55
India,Meghalaya,"Financial Year (Apr - Mar), 2023","February, 2024",44.25,53.02,95.65,0.4,193.32000000000002
India,Mizoram,"Financial Year (Apr - Mar), 2023","February, 2024",18.92,27.04,3.36,0.02,49.34
India,Nagaland,"Financial Year (Apr - Mar), 2023","February, 2024",15.41,21.24,10.53,4.03,51.21
India,Odisha,"Financial Year (Apr - Mar), 2023","February, 2024",1232.02,1464.73,1603.46,835.6,5135.81
India,Puducherry,"Financial Year (Apr - Mar), 2023","February, 2024",27.5,41.54,161.47,0.26,230.76999999999998
India,Punjab,"Financial Year (Apr - Mar), 2023","February, 2024",468.33,631.39,834.26,21.15,1955.13
India,Rajasthan,"Financial Year (Apr - Mar), 2023","February, 2024",1136.53,1428.73,1459.46,186.53,4211.25
India,Sikkim,"Financial Year (Apr - Mar), 2023","February, 2024",19.07,23.3,256.68,0.13,299.18
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","February, 2024",2543.02,3396.67,3098.21,674.6,9712.500000000002
India,Telangana,"Financial Year (Apr - Mar), 2023","February, 2024",1418.86,1742.76,1461.76,587.15,5210.53
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023","February, 2024",46.0600000000000000000000,60.1300000000000000000000,248.8700000000000000000000,0.4300000000000000000000,355.4900000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023","February, 2024",33.3,41.57,10.26,0.14,85.27000000000001
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","February, 2024",1889.91,2515.07,2321.3,1327.55,8053.830000000001
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","February, 2024",298.65,439.69,776.22,10.61,1525.1699999999998
India,West Bengal,"Financial Year (Apr - Mar), 2023","February, 2024",1604.66,1927.33,1341.59,483.24,5356.82
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","January, 2024",12.67,16.49,5.29,0.05,34.49999999999999
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","January, 2024",866.79,1143.12,1317.46,259.87,3587.24
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","January, 2024",28.83,35.79,12.18,0.09,76.89000000000001
India,Assam,"Financial Year (Apr - Mar), 2023","January, 2024",419.28,559.81,296.98,96.65,1372.72
India,Bihar,"Financial Year (Apr - Mar), 2023","January, 2024",421.19,721.14,261.4,161.35,1565.08
India,Chandigarh,"Financial Year (Apr - Mar), 2023","January, 2024",51.96,72.16,122.36,5.09,251.57000000000002
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","January, 2024",587.4,700.6,1015.21,645.33,2948.54
India,Delhi,"Financial Year (Apr - Mar), 2023","January, 2024",1151.74,1389.93,3101.1,131.4,5774.17
India,Goa,"Financial Year (Apr - Mar), 2023","January, 2024",171.97,228.97,180.58,5.37,586.89
India,Gujarat,"Financial Year (Apr - Mar), 2023","January, 2024",3033.7,3627.27,3610.59,695.9,10967.46
India,Haryana,"Financial Year (Apr - Mar), 2023","January, 2024",1466.22,1855.13,5719.89,580.52,9621.760000000002
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","January, 2024",168.2,238.15,466.29,1.94,874.5800000000002
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","January, 2024",175.19,260.64,127.75,3.05,566.6299999999999
India,Jharkhand,"Financial Year (Apr - Mar), 2023","January, 2024",504.9,682.61,1269.66,636.16,3093.33
India,Karnataka,"Financial Year (Apr - Mar), 2023","January, 2024",3045.55,3715.29,5234.61,1324.8,13320.25
India,Kerala,"Financial Year (Apr - Mar), 2023","January, 2024",958.29,1285.59,523.97,8.52,2776.3700000000003
India,Ladakh,"Financial Year (Apr - Mar), 2023","January, 2024",18.84,26.05,4.22,0.07,49.18
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","January, 2024",0.12,0.15,1.14,0.0,1.41
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","January, 2024",917.95,1152.45,989.98,633.3,3693.6800000000003
India,Maharashtra,"Financial Year (Apr - Mar), 2023","January, 2024",7415.45,8524.74,10330.22,2071.57,28341.979999999996
India,Manipur,"Financial Year (Apr - Mar), 2023","January, 2024",18.16,27.83,9.87,0.56,56.419999999999995
India,Meghalaya,"Financial Year (Apr - Mar), 2023","January, 2024",43.7,58.93,97.2,0.56,200.39
India,Mizoram,"Financial Year (Apr - Mar), 2023","January, 2024",15.09,20.69,2.85,0.05,38.68
India,Nagaland,"Financial Year (Apr - Mar), 2023","January, 2024",16.64,22.73,8.19,3.59,51.150000000000006
India,Odisha,"Financial Year (Apr - Mar), 2023","January, 2024",1186.99,1428.72,1485.86,861.59,4963.16
India,Puducherry,"Financial Year (Apr - Mar), 2023","January, 2024",31.45,53.7,150.21,1.93,237.29000000000002
India,Punjab,"Financial Year (Apr - Mar), 2023","January, 2024",539.02,777.29,847.71,25.07,2189.09
India,Rajasthan,"Financial Year (Apr - Mar), 2023","January, 2024",1270.85,1601.07,1477.37,175.88,4525.17
India,Sikkim,"Financial Year (Apr - Mar), 2023","January, 2024",19.32,22.89,252.87,0.1,295.18
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","January, 2024",2495.15,3297.6,3165.04,648.54,9606.330000000002
India,Telangana,"Financial Year (Apr - Mar), 2023","January, 2024",1421.84,1853.9,1580.23,592.25,5448.219999999999
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023","January, 2024",45.5700000000000000000000,57.3500000000000000000000,293.4800000000000000000000,0.100000000000000000000,396.5000000000000300000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023","January, 2024",30.17,38.57,11.68,0.3,80.72000000000001
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","January, 2024",2096.95,2880.7,2432.66,1185.31,8595.619999999999
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","January, 2024",303.5,447.97,850.48,14.51,1616.46
India,West Bengal,"Financial Year (Apr - Mar), 2023","January, 2024",1721.71,2051.65,1290.28,401.57,5465.21
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","December, 2023",10.37,14.24,3.67,0.04,28.32
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","December, 2023",841.26,1116.48,1267.97,319.03,3544.74
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","December, 2023",38.45,45.85,12.17,0.21,96.68
India,Assam,"Financial Year (Apr - Mar), 2023","December, 2023",363.84,461.04,337.54,140.53,1302.95
India,Bihar,"Financial Year (Apr - Mar), 2023","December, 2023",404.35,690.78,202.77,189.27,1487.17
India,Chandigarh,"Financial Year (Apr - Mar), 2023","December, 2023",42.3,56.61,181.57,0.3,280.78000000000003
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","December, 2023",489.65,605.82,900.73,616.3,2612.5
India,Delhi,"Financial Year (Apr - Mar), 2023","December, 2023",1012.06,1204.79,2793.12,111.37,5121.339999999999
India,Goa,"Financial Year (Apr - Mar), 2023","December, 2023",152.22,197.72,199.85,2.86,552.65
India,Gujarat,"Financial Year (Apr - Mar), 2023","December, 2023",2801.72,3357.84,3044.73,669.96,9874.25
India,Haryana,"Financial Year (Apr - Mar), 2023","December, 2023",1247.99,1577.16,4728.68,575.72,8129.55
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","December, 2023",141.12,198.6,403.18,1.72,744.6200000000001
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","December, 2023",156.74,228.33,105.05,2.09,492.21000000000004
India,Jharkhand,"Financial Year (Apr - Mar), 2023","December, 2023",493.99,678.71,858.75,600.08,2631.53
India,Karnataka,"Financial Year (Apr - Mar), 2023","December, 2023",2696.45,3357.31,4371.53,1333.48,11758.77
India,Kerala,"Financial Year (Apr - Mar), 2023","December, 2023",865.21,1121.53,465.73,5.19,2457.6600000000003
India,Ladakh,"Financial Year (Apr - Mar), 2023","December, 2023",21.71,30.74,5.21,0.13,57.790000000000006
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","December, 2023",0.72,0.93,2.12,0.0,3.77
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","December, 2023",867.98,1110.45,792.36,652.07,3422.86
India,Maharashtra,"Financial Year (Apr - Mar), 2023","December, 2023",7527.61,8606.43,8655.87,2024.42,26814.33
India,Manipur,"Financial Year (Apr - Mar), 2023","December, 2023",18.53,25.12,6.2,0.05,49.900000000000006
India,Meghalaya,"Financial Year (Apr - Mar), 2023","December, 2023",35.07,44.48,88.93,2.8,171.28000000000003
India,Mizoram,"Financial Year (Apr - Mar), 2023","December, 2023",10.02,14.7,2.02,0.1,26.84
India,Nagaland,"Financial Year (Apr - Mar), 2023","December, 2023",15.46,19.76,7.43,2.96,45.61
India,Odisha,"Financial Year (Apr - Mar), 2023","December, 2023",1071.42,1276.83,1207.11,796.06,4351.42
India,Puducherry,"Financial Year (Apr - Mar), 2023","December, 2023",28.01,41.12,162.21,0.61,231.95000000000002
India,Punjab,"Financial Year (Apr - Mar), 2023","December, 2023",450.57,668.71,738.23,17.41,1874.92
India,Rajasthan,"Financial Year (Apr - Mar), 2023","December, 2023",1077.08,1384.78,1191.11,174.56,3827.5299999999993
India,Sikkim,"Financial Year (Apr - Mar), 2023","December, 2023",17.32,20.48,215.86,0.01,253.67000000000002
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","December, 2023",2560.77,3283.37,3393.7,649.72,9887.56
India,Telangana,"Financial Year (Apr - Mar), 2023","December, 2023",1246.0,1584.54,1365.19,557.16,4752.889999999999
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023","December, 2023",43.3000000000000000000000,54.9900000000000000000000,234.6700000000000000000000,0.500000000000000000000,333.4600000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023","December, 2023",29.45,40.47,9.26,0.06,79.24000000000001
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","December, 2023",1833.84,2539.32,2314.44,1323.0,8010.6
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","December, 2023",294.06,421.38,744.4,9.83,1469.67
India,West Bengal,"Financial Year (Apr - Mar), 2023","December, 2023",1519.56,1827.76,1281.08,390.33,5018.73
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","November, 2023",11.0,15.31,4.58,0.14,31.03
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","November, 2023",830.31,1163.05,1731.79,367.97,4093.12
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","November, 2023",32.41,39.56,19.76,0.5,92.23
India,Assam,"Financial Year (Apr - Mar), 2023","November, 2023",365.92,457.44,331.15,77.37,1231.88
India,Bihar,"Financial Year (Apr - Mar), 2023","November, 2023",395.98,645.71,211.57,135.16,1388.42
India,Chandigarh,"Financial Year (Apr - Mar), 2023","November, 2023",40.08,49.67,120.1,0.45,210.29999999999998
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","November, 2023",536.25,625.23,1124.17,650.06,2935.71
India,Delhi,"Financial Year (Apr - Mar), 2023","November, 2023",1081.54,1275.82,2880.33,109.38,5347.07
India,Goa,"Financial Year (Apr - Mar), 2023","November, 2023",140.26,180.03,180.11,2.69,503.09
India,Gujarat,"Financial Year (Apr - Mar), 2023","November, 2023",2981.72,3665.77,3475.42,730.35,10853.26
India,Haryana,"Financial Year (Apr - Mar), 2023","November, 2023",1415.4,1778.52,5868.5,669.6,9732.02
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","November, 2023",128.64,185.23,487.01,1.15,802.03
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","November, 2023",132.65,198.39,134.83,3.39,469.26
India,Jharkhand,"Financial Year (Apr - Mar), 2023","November, 2023",510.25,714.13,933.25,475.07,2632.7000000000003
India,Karnataka,"Financial Year (Apr - Mar), 2023","November, 2023",2745.92,3312.81,4551.39,1360.03,11970.15
India,Kerala,"Financial Year (Apr - Mar), 2023","November, 2023",873.74,1089.15,547.94,3.9,2514.73
India,Ladakh,"Financial Year (Apr - Mar), 2023","November, 2023",24.54,34.06,3.67,0.0,62.27
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","November, 2023",0.12,0.13,0.16,0.0,0.41000000000000003
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","November, 2023",881.06,1112.17,1016.85,635.96,3646.04
India,Maharashtra,"Financial Year (Apr - Mar), 2023","November, 2023",6813.52,7925.71,8683.46,2162.08,25584.769999999997
India,Manipur,"Financial Year (Apr - Mar), 2023","November, 2023",13.64,18.82,7.15,0.13,39.74
India,Meghalaya,"Financial Year (Apr - Mar), 2023","November, 2023",32.16,41.1,87.89,1.47,162.61999999999998
India,Mizoram,"Financial Year (Apr - Mar), 2023","November, 2023",9.2,14.11,9.19,0.03,32.53
India,Nagaland,"Financial Year (Apr - Mar), 2023","November, 2023",23.46,29.24,11.06,2.8,66.56
India,Odisha,"Financial Year (Apr - Mar), 2023","November, 2023",1080.66,1251.59,1161.06,801.77,4295.08
India,Puducherry,"Financial Year (Apr - Mar), 2023","November, 2023",28.81,42.8,155.63,1.01,228.25
India,Punjab,"Financial Year (Apr - Mar), 2023","November, 2023",502.0,708.39,1032.71,21.85,2264.95
India,Rajasthan,"Financial Year (Apr - Mar), 2023","November, 2023",1161.72,1489.09,1839.87,191.22,4681.900000000001
India,Sikkim,"Financial Year (Apr - Mar), 2023","November, 2023",19.4,23.35,190.73,0.09,233.57
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","November, 2023",2631.64,3385.39,3593.44,644.26,10254.73
India,Telangana,"Financial Year (Apr - Mar), 2023","November, 2023",1221.71,1616.74,1630.97,516.48,4985.9
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023","November, 2023",41.4900000000000000000000,54.6000000000000000000000,236.4100000000000000000000,0.1500000000000000000000,332.6500000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023","November, 2023",27.35,35.74,19.93,0.13,83.15
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023","November, 2023",1863.64,2744.22,3029.79,1335.51,8973.16
India,Uttarakhand,"Financial Year (Apr - Mar), 2023","November, 2023",313.35,485.55,791.52,10.21,1600.63
India,West Bengal,"Financial Year (Apr - Mar), 2023","November, 2023",1496.83,1800.46,1290.89,326.32,4914.5
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023","October, 2023",10.65,13.83,4.12,0.04,28.64
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023","October, 2023",812.35,1099.69,1178.76,312.46,3403.26
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023","October, 2023",28.01,35.87,22.53,0.1,86.50999999999999
India,Assam,"Financial Year (Apr - Mar), 2023","October, 2023",409.08,521.61,316.86,65.37,1312.92
India,Bihar,"Financial Year (Apr - Mar), 2023","October, 2023",380.28,639.26,190.9,195.87,1406.31
India,Chandigarh,"Financial Year (Apr - Mar), 2023","October, 2023",42.45,53.7,112.06,1.66,209.87
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023","October, 2023",531.34,636.66,966.89,546.48,2681.37
India,Delhi,"Financial Year (Apr - Mar), 2023","October, 2023",1209.78,1425.11,5006.97,111.68,7753.540000000001
India,Goa,"Financial Year (Apr - Mar), 2023","October, 2023",156.24,197.55,172.67,3.47,529.9300000000001
India,Gujarat,"Financial Year (Apr - Mar), 2023","October, 2023",2616.16,3165.53,3289.85,658.64,9730.18
India,Haryana,"Financial Year (Apr - Mar), 2023","October, 2023",1338.39,1772.88,4907.34,697.23,8715.84
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023","October, 2023",176.15,231.7,476.15,1.25,885.25
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023","October, 2023",167.86,246.67,171.27,7.35,593.15
India,Jharkhand,"Financial Year (Apr - Mar), 2023","October, 2023",512.96,690.15,1164.68,518.38,2886.17
India,Karnataka,"Financial Year (Apr - Mar), 2023","October, 2023",2611.78,3302.93,4559.28,1496.61,11970.6
India,Kerala,"Financial Year (Apr - Mar), 2023","October, 2023",836.91,1095.84,481.72,3.64,2418.11
India,Ladakh,"Financial Year (Apr - Mar), 2023","October, 2023",14.29,23.19,5.43,0.42,43.330000000000005
India,Lakshadweep,"Financial Year (Apr - Mar), 2023","October, 2023",0.08,1.25,0.16,0.0,1.49
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023","October, 2023",828.75,1060.0,827.69,609.06,3325.5
India,Maharashtra,"Financial Year (Apr - Mar), 2023","October, 2023",6817.12,7994.85,10610.6,1886.6,27309.17
India,Manipur,"Financial Year (Apr - Mar), 2023","October, 2023",28.98,32.63,7.63,0.58,69.82
India,Meghalaya,"Financial Year (Apr - Mar), 2023","October, 2023",34.23,41.88,65.94,0.26,142.31
India,Mizoram,"Financial Year (Apr - Mar), 2023","October, 2023",14.87,20.98,3.53,0.06,39.440000000000005
India,Nagaland,"Financial Year (Apr - Mar), 2023","October, 2023",17.99,21.91,6.94,2.17,49.01
India,Odisha,"Financial Year (Apr - Mar), 2023","October, 2023",1051.33,1306.47,1121.7,697.44,4176.9400000000005
India,Puducherry,"Financial Year (Apr - Mar), 2023","October, 2023",29.0,41.93,139.51,1.13,211.57
India,Punjab,"Financial Year (Apr - Mar), 2023","October, 2023",470.96,686.86,791.37,32.08,1981.27
India,Rajasthan,"Financial Year (Apr - Mar), 2023","October, 2023",1075.1,1370.52,1407.04,193.11,4045.77
India,Sikkim,"Financial Year (Apr - Mar), 2023","October, 2023",21.97,30.75,273.35,0.03,326.1
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023","October, 2023",2633.13,3502.19,3844.5,781.05,10760.869999999999
